data_inversa,n_crashes
2022-09-07,161
2022-09-08,165
2022-09-09,181
2022-09-10,231
2022-09-11,213
2022-09-12,163
2022-09-13,151
2022-09-14,162
2022-09-15,164
2022-09-16,224
2022-09-17,239
2022-09-18,238
2022-09-19,151
2022-09-20,155
2022-09-21,162
2022-09-22,184
2022-09-23,178
2022-09-24,206
2022-09-25,224
2022-09-26,188
2022-09-27,170
2022-09-28,149
2022-09-29,150
2022-09-30,177
2022-10-01,202
2022-10-02,202
2022-10-03,169
2022-10-04,140
2022-10-05,149
2022-10-06,172
2022-10-07,230
2022-10-08,226
2022-10-09,225
2022-10-10,170
2022-10-11,161
2022-10-12,161
2022-10-13,145
2022-10-14,191
2022-10-15,204
2022-10-16,239
2022-10-17,149
2022-10-18,133
2022-10-19,160
2022-10-20,177
2022-10-21,217
2022-10-22,211
2022-10-23,246
2022-10-24,185
2022-10-25,157
2022-10-26,145
2022-10-27,154
2022-10-28,195
2022-10-29,239
2022-10-30,256
2022-10-31,182
2022-11-01,117
2022-11-02,115
2022-11-03,150
2022-11-04,201
2022-11-05,183
2022-11-06,176
2022-11-07,164
2022-11-08,149
2022-11-09,161
2022-11-10,143
2022-11-11,216
2022-11-12,226
2022-11-13,238
2022-11-14,193
2022-11-15,207
2022-11-16,173
2022-11-17,153
2022-11-18,216
2022-11-19,184
2022-11-20,159
2022-11-21,148
2022-11-22,139
2022-11-23,136
2022-11-24,149
2022-11-25,183
2022-11-26,219
2022-11-27,218
2022-11-28,188
2022-11-29,177
2022-11-30,148
2022-12-01,136
2022-12-02,233
2022-12-03,237
2022-12-04,184
2022-12-05,173
2022-12-06,161
2022-12-07,173
2022-12-08,173
2022-12-09,194
2022-12-10,212
2022-12-11,215
2022-12-12,168
2022-12-13,152
2022-12-14,142
2022-12-15,172
2022-12-16,190
2022-12-17,259
2022-12-18,221
2022-12-19,165
2022-12-20,187
2022-12-21,194
2022-12-22,197
2022-12-23,261
2022-12-24,197
2022-12-25,204
2022-12-26,198
2022-12-27,176
2022-12-28,146
2022-12-29,171
2022-12-30,179
2022-12-31,168
2023-01-01,207
2023-01-02,188
2023-01-03,173
2023-01-04,168
2023-01-05,148
2023-01-06,147
2023-01-07,186
2023-01-08,207
2023-01-09,189
2023-01-10,126
2023-01-11,139
2023-01-12,162
2023-01-13,190
2023-01-14,189
2023-01-15,205
2023-01-16,160
2023-01-17,150
2023-01-18,132
2023-01-19,156
2023-01-20,203
2023-01-21,183
2023-01-22,181
2023-01-23,141
2023-01-24,126
2023-01-25,153
2023-01-26,162
2023-01-27,170
2023-01-28,198
2023-01-29,206
2023-01-30,160
2023-01-31,149
2023-02-01,115
2023-02-02,162
2023-02-03,177
2023-02-04,226
2023-02-05,190
2023-02-06,169
2023-02-07,139
2023-02-08,145
2023-02-09,157
2023-02-10,173
2023-02-11,218
2023-02-12,209
2023-02-13,172
2023-02-14,140
2023-02-15,150
2023-02-16,155
2023-02-17,200
2023-02-18,233
2023-02-19,220
2023-02-20,150
2023-02-21,135
2023-02-22,175
2023-02-23,135
2023-02-24,153
2023-02-25,141
2023-02-26,185
2023-02-27,154
2023-02-28,173
2023-03-01,129
